queryIndex	queryItem	stringId	preferredName	annotation
2	G3N556	69293.ENSGACP00000000426	ENSGACG00000000332	Proteasome (prosome, macropain) subunit, alpha type,5
3	G3N7Z3	69293.ENSGACP00000001427	ENSGACG00000001103	Oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide)
5	G3NGV7	69293.ENSGACP00000004564	LSM3	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
6	G3NIG2	69293.ENSGACP00000005122	ENSGACG00000003895	Ribosomal protein S23; Belongs to the universal ribosomal protein uS12 family
7	G3NJS1	69293.ENSGACP00000005583	ENSGACG00000004236	annotation not available
9	G3NPA2	69293.ENSGACP00000007166	ENSGACG00000005419	Cytochrome b-c1 complex subunit 7; Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain
12	G3PCG6	69293.ENSGACP00000015290	ENSGACG00000011558	Ribosomal protein S27a
13	G3PLE8	69293.ENSGACP00000018429	ATP5B	ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane
14	G3PPN8	69293.ENSGACP00000019573	ENSGACG00000014821	NADH dehydrogenase (ubiquinone) Fe-S protein 1; Belongs to the complex I 75 kDa subunit family
15	G3PSB6	69293.ENSGACP00000020502	ENSGACG00000015545	Hyaluronan and proteoglycan link protein 1b
18	G3Q289	69293.ENSGACP00000023988	ENSGACG00000018150	Gelsolin a
19	G3QBU5	69293.ENSGACP00000027361	SLC25A5	Solute carrier family 25 alpha, member 5; Belongs to the mitochondrial carrier (TC 2.A.29) family
20	Q804E3	69293.ENSGACP00000009457	ENSGACG00000007134	Homeo box A13a
